Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,IMDB Rating Scaled
Rollerball,1975,69,70.566,Norman Jewison,"James Caan, John Houseman, Maud Adams, John Beck",The year is 2018 in a futuristic society where corporations have replaced countries. A violent futuristic game known as Rollerball...,30000000.0,Sci-Fi,31.0,14.0,98.0,28173.0,310.0
Fever Pitch,2005,65,73.406,Bobby Farrelly,"Drew Barrymore, Jimmy Fallon, James B. Sikking, JoBeth Williams","When Ben Wrightman (Jimmy Fallon), a young teacher, begins dating pretty businesswoman Lindsey Meeks (Drew Barrymore), the two don't seem...",50071069.0,Comedy,62.0,56.0,104.0,45042.0,620.0
Rocky II,1979,72,73.157,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burgess Meredith, Burt Young",Although working-class Philadelphia boxer Rocky Balboa (Sylvester Stallone) lost his high-profile bout with the cocky world champion Apollo Creed (Carl...,69679794.5,Drama,73.0,61.0,119.0,205439.0,730.0
Ali,2001,68,73.151,Michael Mann,"Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles","With wit and athletic genius, with defiant rage and inner grace, Muhammad Ali forever changed the American landscape. Fighting all...",87683966.0,Drama,67.0,65.0,157.0,98915.0,670.0
The Blind Side,2009,66,73.737,John Lee Hancock,"Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head","Michael Oher (Quinton Aaron), a homeless black teen, has drifted in and out of the school system for years. Then...",305705794.0,Drama,76.0,53.0,129.0,324097.0,760.0
The Karate Kid,2010,66,74.433,Harald Zwart,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han","When his mother's career results in a move to China, 12-year-old Dre Parker (Jaden Smith) finds that he is a...",351774938.0,Drama,73.0,60.0,126.0,219360.0,730.0
Tin Cup,1996,72,73.741,Ron Shelton,"Kevin Costner, Rene Russo, Cheech Marin, Linda Hart","Roy McAvoy (Kevin Costner) was a golf pro with a bright future, but his rebellious nature and bad attitude cost...",75854588.0,Comedy,64.0,60.0,135.0,49830.0,640.0
Dodgeball: A True Underdog Story,2004,71,77.637,Rawson Marshall Thurber,"Vince Vaughn, Christine Taylor, Ben Stiller, Rip Torn","Average Joe's Gym and its owner, Peter La Fleur (Vince Vaughn), are both down on their luck. A fancy competing...",167791704.0,Comedy,67.0,55.0,92.0,244758.0,670.0
Jungleland,2019,74,76.325,Max Winkler,"Charlie Hunnam, Jack O'Connell, Jessica Barden, Jonathan Majors","When a devastating loss in the ring leaves Lion and his manager/brother Stan in debt to a local crime boss,...",69679794.5,Drama,62.0,53.0,90.0,4914.0,620.0
Invincible,2006,72,77.647,Ericson Core,"Mark Wahlberg, Greg Kinnear, Elizabeth Banks, Kevin Conway",Lifelong football fan Vince Papale (Mark Wahlberg) sees his wildest dreams come true when he becomes a member of the...,58501127.0,Drama,87.0,70.0,50.0,114508.0,870.0
Blades of Glory,2007,70,78.35,Will Speck,"Will Ferrell, Jon Heder, Will Arnett, Amy Poehler",Figure skaters Chazz Michael Michaels (Will Ferrell) and Jimmy MacElroy (Jon Heder) take their intense rivalry too far during the...,145594548.0,Comedy,63.0,64.0,93.0,167458.0,630.0
Remember the Titans,2000,73,76.787,Boaz Yakin,"Denzel Washington, Will Patton, Donald Adeosun Faison, Wood Harris","In Virginia, high school football is a way of life, an institution revered, each game celebrated more lavishly than Christmas,...",136771683.0,Drama,78.0,48.0,113.0,211597.0,780.0
Talladega Nights: The Ballad of Ricky Bobby,2006,71,78.039,Adam McKay,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole","NASCAR superstar Ricky Bobby (Will Ferrell) is at the top of his game; adored by fans, a trophy wife by...",69679794.5,Comedy,66.0,66.0,108.0,181377.0,660.0
Cool Runnings,1993,76,77.898,Jon Turteltaub,"Leon, Doug E. Doug, Malik Yoba, John Candy","Four Jamaican bobsledders dream of competing in the Winter Olympics, despite never having seen snow. With the help of a...",155008909.0,Comedy,70.0,60.0,98.0,102502.0,700.0
White Men Can't Jump,1992,77,78.445,Ron Shelton,"Wesley Snipes, Woody Harrelson, Rosie Perez, Tyra Ferrell",Billy Hoyle (Woody Harrelson) is a white basketball hustler who banks on black players underestimating his skills on the court....,90753806.0,Comedy,68.0,65.0,115.0,84959.0,680.0
Breath,2017,80,82.316,Simon Baker,"Simon Baker, Samson Coulter, Ben Spence, Elizabeth Debicki","In the 1970s, in a remote corner of the Western Australian coast, two teenage boys, Pikelet and Loonie, are hungry...",3243312.0,Drama,34.0,70.0,106.0,288.0,340.0
Rudy,1993,78,81.374,David Anspaugh,"Sean Astin, Ned Beatty, Charles S. Dutton, Robert Prosky","Rudy Ruettiger (Sean Astin) wants to play football at the University of Notre Dame, but has neither the money for...",22750363.0,Drama,75.0,71.0,114.0,62620.0,750.0
The Longest Yard,1974,79,81.852,Robert Aldrich,"Burt Reynolds, Eddie Albert, Ed Lauter, Michael Conrad",An ex-football star doing time is forced by the warden to organize a team of inmates to play against his...,191558505.0,Comedy,64.0,48.0,113.0,176375.0,640.0
He Got Game,1998,81,81.648,Spike Lee,"Denzel Washington, Ray Allen, Milla Jovovich, Rosario Dawson",Jake Shuttleworth (Denzel Washington) has spent the last six years in prison after accidentally killing his wife during a violent...,22411948.0,Drama,69.0,64.0,136.0,47694.0,690.0
Seabiscuit,2003,78,84.659,Gary Ross,"Tobey Maguire, Jeff Bridges, Chris Cooper, Elizabeth Banks","In the midst of the Great Depression, a businessman (Jeff Bridges) coping with the tragic death of his son, a...",148715342.0,Drama,73.0,72.0,140.0,72390.0,730.0
Rocky Balboa,2006,77,83.847,Sylvester Stallone,"Sylvester Stallone, Burt Young, Antonio Tarver, Geraldine Hughes","Now long-retired, Rocky (Sylvester Stallone) runs a Philadelphia eatery and mourns the loss of his beloved wife, Adrian. Yearning to...",156229050.0,Drama,71.0,63.0,102.0,214035.0,710.0
Miracle,2004,81,86.594,Gavin O'Connor,"Kurt Russell, Patricia Clarkson, Noah Emmerich, Sean McCann","When college coach Herb Brooks (Kurt Russell) is hired to helm the 1980 U.S. men's Olympic hockey team, he brings...",64474705.0,Drama,74.0,68.0,135.0,53878.0,740.0
Invictus,2009,76,84.96,Clint Eastwood,"Morgan Freeman, Matt Damon, Tony Kgoroge, Patrick Mofokeng","Following the fall of apartheid, newly elected President Nelson Mandela (Morgan Freeman) faces a South Africa that is racially and...",124514011.0,Drama,73.0,74.0,134.0,158039.0,730.0
Major League,1989,83,84.732,David S. Ward,"Tom Berenger, Charlie Sheen, Corbin Bernsen, Margaret Whitton","The new owner of the Cleveland Indians, former showgirl Rachel Phelps (Margaret Whitton), has a sweetheart deal to move the...",49793054.0,Comedy,72.0,62.0,107.0,68236.0,720.0
Goon,2011,81,85.184,Michael Dowse,"Seann William Scott, Jay Baruchel, Alison Pill, Marc-André Grondin","Though a misfit among his brainy family members, Massachusetts bouncer Doug Glatt (Seann William Scott) has a knockout punch that...",7018603.0,Comedy,68.0,64.0,92.0,86871.0,680.0
"McFarland, USA",2015,80,85.092,Niki Caro,"Kevin Costner, Maria Bello, Morgan Saylor, Michael Aguero",Track coach Jim White (Kevin Costner) is a newcomer to a predominantly Latino high-school in California's Central Valley. Coach White...,45707924.0,Drama,74.0,60.0,129.0,38437.0,740.0
North Dallas Forty,1979,84,85.459,Ted Kotcheff,"Nick Nolte, Mac Davis, Charles Durning, Dayle Haddon",A brutal satire of American professional football in which a veteran pass-catcher's individuality and refusal to become part of the...,19010710.0,Comedy,69.0,80.0,119.0,5297.0,690.0
The Natural,1984,83,84.974,Barry Levinson,"Robert Redford, Robert Duvall, Glenn Close, Kim Basinger","On the way to a tryout with the Chicago Cubs, young baseball phenom Roy Hobbs (Robert Redford) is shot by...",47951979.0,Drama,74.0,61.0,138.0,48521.0,740.0
The World's Fastest Indian,2005,82,86.898,Roger Donaldson,"Anthony Hopkins, Bruce Greenwood, Diane Ladd, Paul Rodriguez","New Zealander Burt Munro spent years perfecting his classic Indian motorcycle. The year is 1967, and Burt takes his machine...",18991288.0,Drama,78.0,68.0,127.0,54556.0,780.0
Cinderella Man,2005,80,88.275,Ron Howard,"Russell Crowe, Renée Zellweger, Paul Giamatti, Craig Bierko","During the Great Depression, ex-boxer James J. Braddock (Russell Crowe) works as a day laborer until his former manager Joe...",105021488.0,Drama,80.0,69.0,144.0,185420.0,800.0
The Rookie,2002,84,88.08,John Lee Hancock,"Dennis Quaid, Rachel Griffiths, Jay Hernandez, Beth Grant",A true story about a coach who discovers that it's never too late for dreams to come true. Jim Morris...,80491516.0,Drama,80.0,70.0,43.0,35026.0,800.0
Slap Shot,1977,83,86.1,George Roy Hill,"Paul Newman, Michael Ontkean, Lindsay Crouse, Strother Martin","In the small New England town of Charlestown, the local mill is about to lay off 10,000 workers. The town's...",28000000.0,Drama,73.0,61.0,123.0,37133.0,730.0
Happy Valley,2014,89,88.603,Amir Bar-Lev,Joe Posnanski,"In 2011, longtime Penn State assistant football coach Jerry Sandusky is charged with multiple counts of child sex abuse, rocking...",67665.0,Drama,85.0,70.0,58.0,38645.0,850.0
Jerry Maguire,1996,84,89.238,Cameron Crowe,"Tom Cruise, Cuba Gooding Jr., Renee Zellweger, Kelly Preston","When slick sports agent Jerry Maguire (Tom Cruise) has a crisis of conscience, he pens a heartfelt company-wide memo that...",273552592.0,Comedy,73.0,77.0,139.0,259927.0,730.0
Early Man,2018,80,90.504,Nick Park,"Eddie Redmayne, Tom Hiddleston, Maisie Williams, Miriam Margolyes","A plucky cave man named Dug, his sidekick Hognob and the rest of their tribe face a grave threat to...",45285890.0,Adventure,61.0,68.0,89.0,21905.0,610.0
42,2013,81,88.09,Brian Helgeland,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni","In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by...",97470701.0,Drama,75.0,62.0,128.0,93616.0,750.0
Chariots of Fire,1981,82,87.779,Hugh Hudson,"Ben Cross, Ian Charleson, John Gielgud, Nigel Havers","In the class-obsessed and religiously divided United Kingdom of the early 1920s, two determined young runners train for the 1924...",61910507.0,Drama,71.0,78.0,125.0,59509.0,710.0
Bend It Like Beckham,2002,85,90.642,Gurinder Chadha,"Parminder Nagra, Keira Knightley, Anupam Kher, Archie Panjabi","Jess Bhamra (Parminder Nagra), the daughter of a strict Indian couple (Anupam Kher, Shaheen Khan) in London, is not permitted...",69679794.5,Comedy,67.0,66.0,112.0,109760.0,670.0
Warrior,2011,84,90.875,Gavin O'Connor,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison","An estranged family finds redemption in the unlikeliest of places: the MMA ring. Tommy (Tom Hardy), an ex-Marine with a...",24215385.0,Drama,82.0,71.0,140.0,463431.0,820.0
Eddie the Eagle,2016,81,94.066,Dexter Fletcher,"Taron Egerton, Hugh Jackman, Jo Hartley, Tom Costello","Cut from the Olympic ski team, British athlete Michael ""Eddie"" Edwards travels to Germany to test his skills at ski...",45060480.0,Comedy,73.0,54.0,106.0,92116.0,730.0
Whip It,2009,85,92.214,Drew Barrymore,"Ellen Page, Marcia Gay Harden, Kristen Wiig, Drew Barrymore",Bliss Cavendar lives in small-town Texas and yearns to break free of her mother's world of beauty pageants and conformity....,18889972.0,Drama,69.0,68.0,111.0,66926.0,690.0
Field of Dreams,1989,87,91.877,Phil Alden Robinson,"Kevin Costner, Amy Madigan, James Earl Jones, Gaby Hoffman","When Iowa farmer Ray (Kevin Costner) hears a mysterious voice one night in his cornfield saying ""If you build it,...",64431625.0,Drama,75.0,57.0,107.0,117327.0,750.0
Heaven Can Wait,1978,89,93.372,Warren Beatty,"Warren Beatty, Julie Christie, Jack Warden, James Mason","Joe Pendleton (Warren Beatty), quarterback for the Los Angeles Rams, is killed in an auto accident. In the afterlife, Joe...",98800000.0,Comedy,69.0,72.0,101.0,21015.0,690.0
The Way Back,2020,84,98.305,Gavin O'Connor,"Ben Affleck, Al Madrigal, Janina Gavankar, Jeremy Radin","Jack Cunningham was a high school basketball superstar who suddenly walked away from the game for unknown reasons. Years later,...",26524989.0,Drama,73.0,66.0,133.0,115604.0,730.0
Dream Horse,2020,89,94.658,Euros Lyn,"Toni Collette, Damian Lewis, Owen Teale, Joanna Page","The film tells the inspiring true story of Dream Alliance, an unlikely race horse bred by small town bartender, Jan...",6482891.0,Comedy,69.0,68.0,113.0,4894.0,690.0
The Color of Money,1986,89,92.993,Martin Scorsese,"Paul Newman, Tom Cruise, Mary Elizabeth Mastrantonio, Helen Shaver","Former pool hustler ""Fast Eddie"" Felson (Paul Newman) decides he wants to return to the game by taking a pupil....",52293000.0,Drama,70.0,77.0,119.0,82079.0,700.0
Touching the Void,2003,94,97.843,Kevin Macdonald,"Brendan Mackey, Nicholas Aaron, Richard Hawking, Joe Simpson","In 1985, two young climbers, Joe Simpson (Brendan Mackey) and Simon Yates (Nicholas Aaron), set out to be the first...",15396525.0,Adventure,80.0,82.0,106.0,35628.0,800.0
