Year,Box Office Collection,IMDB Rating,metascore,time_minute,Target,Imdb_genre_Comedy,Imdb_genre_Drama,Imdb_genre_Horror,Imdb_genre_Sci-Fi,Imdb_genre_Thriller
2004,102034104.0,77.0,78.0,99.0,Capolavoro Universale,True,False,False,False,False
2019,24949770.0,71.0,84.0,102.0,Gemma della Critica,True,False,False,False,False
1989,982614.0,72.0,72.0,103.0,Capolavoro Universale,True,False,False,False,False
1967,69679794.5,78.0,70.0,155.0,Capolavoro Universale,True,False,False,False,False
1984,316300000.0,73.0,66.0,105.0,Crowd Pleaser,True,False,False,False,False
1999,12179708.0,77.0,68.0,89.0,Crowd Pleaser,True,False,False,False,False
1994,242895809.0,71.0,81.0,117.0,Gemma della Critica,True,False,False,False,False
1967,104466833.0,80.0,83.0,106.0,Capolavoro Universale,True,False,False,False,False
1986,69679794.5,78.0,61.0,103.0,Crowd Pleaser,True,False,False,False,False
1998,369884651.0,71.0,69.0,119.0,Flop,True,False,False,False,False
2006,69679794.5,73.0,89.0,84.0,Capolavoro Universale,True,False,False,False,False
1995,27936778.0,72.0,54.0,91.0,Crowd Pleaser,True,False,False,False,False
2007,169955142.0,76.0,76.0,113.0,Capolavoro Universale,True,False,False,False,False
2007,80976736.0,78.0,81.0,121.0,Capolavoro Universale,True,False,False,False,False
2009,465487583.0,77.0,73.0,100.0,Crowd Pleaser,True,False,False,False,False
2003,222344688.0,70.0,64.0,97.0,Flop,True,False,False,False,False
1988,63493000.0,75.0,80.0,108.0,Capolavoro Universale,True,False,False,False,False
2004,89476265.0,71.0,63.0,94.0,Flop,True,False,False,False,False
1984,295596327.0,78.0,71.0,105.0,Capolavoro Universale,True,False,False,False,False
1997,69679794.5,70.0,51.0,89.0,Flop,True,False,False,False,False
1968,44527234.0,79.0,70.0,30.0,Capolavoro Universale,True,False,False,False,False
1968,160755.0,75.0,96.0,88.0,Capolavoro Universale,True,False,False,False,False
1994,3894240.0,77.0,70.0,92.0,Capolavoro Universale,True,False,False,False,False
2014,8257983.0,86.0,70.0,30.0,Capolavoro Universale,True,False,False,False,False
1972,57142740.0,76.0,70.0,94.0,Capolavoro Universale,True,False,False,False,False
1941,69679794.5,79.0,70.0,90.0,Capolavoro Universale,False,False,False,False,False
1980,39849764.0,72.0,48.0,98.0,Crowd Pleaser,True,False,False,False,False
1940,48835.0,84.0,70.0,125.0,Capolavoro Universale,True,False,False,False,False
1987,22847660.0,73.0,69.0,94.0,Capolavoro Universale,True,False,False,False,False
1995,57956568.0,69.0,68.0,97.0,Flop,True,False,False,False,False
1977,38251425.0,80.0,92.0,93.0,Capolavoro Universale,True,False,False,False,False
1940,69679794.5,78.0,70.0,92.0,Capolavoro Universale,True,False,False,False,False
1983,90400000.0,75.0,69.0,116.0,Capolavoro Universale,True,False,False,False,False
2011,289632023.0,68.0,75.0,125.0,Gemma della Critica,True,False,False,False,False
1974,86300489.0,80.0,80.0,106.0,Capolavoro Universale,True,False,False,False,False
2004,29832586.0,79.0,76.0,99.0,Capolavoro Universale,True,False,False,False,False
1980,57245093.0,79.0,60.0,133.0,Crowd Pleaser,True,False,False,False,False
1988,288800000.0,71.0,47.0,117.0,Flop,True,False,False,False,False
1979,20522496.0,80.0,77.0,94.0,Capolavoro Universale,True,False,False,False,False
1979,73691419.0,71.0,61.0,94.0,Flop,True,False,False,False,False
1926,1263082.0,82.0,70.0,67.0,Capolavoro Universale,True,False,False,False,False
1934,69679794.5,79.0,86.0,91.0,Capolavoro Universale,True,False,False,False,False
1984,69679794.5,79.0,92.0,82.0,Capolavoro Universale,True,False,False,False,False
1978,141600000.0,74.0,79.0,109.0,Capolavoro Universale,True,False,False,False,False
1974,119500000.0,77.0,73.0,93.0,Capolavoro Universale,True,False,False,False,False
1938,69679794.5,78.0,91.0,102.0,Capolavoro Universale,True,False,False,False,False
1936,227291.0,85.0,96.0,87.0,Capolavoro Universale,True,False,False,False,False
1960,24600000.0,83.0,94.0,125.0,Capolavoro Universale,True,False,False,False,False
